k\N,0,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400,6600,6800,7000,7200,7400,7600,7800,8000,8200,8400,8600,8800,9000,9200,9400,9600,9800
0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46000.0,37000.0,33000.0,32000.0,24000.0,23000.0,21000.0,19000.0,20000.0,19000.0,16000.0,17000.0,16000.0,15000.0,15000.0,14000.0,15000.0,14000.0,15000.0,16000.0,15000.0,16000.0,17000.0,15000.0,15000.0,15000.0,15000.0,17000.0,15000.0,14000.0
0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42000.0,36000.0,31000.0,30000.0,26000.0,23000.0,22000.0,23000.0,18000.0,18000.0,19000.0,16000.0,17000.0,16000.0,16000.0,15000.0,15000.0,17000.0,15000.0,16000.0,15000.0,16000.0,14000.0,15000.0,16000.0,15000.0,16000.0,16000.0,17000.0,16000.0
0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42000.0,38000.0,34000.0,29000.0,29000.0,24000.0,21000.0,19000.0,20000.0,19000.0,19000.0,19000.0,18000.0,17000.0,18000.0,17000.0,18000.0,16000.0,16000.0,17000.0,15000.0,16000.0,16000.0,16000.0,16000.0,15000.0,17000.0,18000.0,17000.0,16000.0
0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41000.0,38000.0,33000.0,30000.0,26000.0,26000.0,22000.0,22000.0,21000.0,20000.0,20000.0,20000.0,18000.0,18000.0,17000.0,16000.0,16000.0,18000.0,17000.0,17000.0,17000.0,17000.0,17000.0,14000.0,16000.0,18000.0,16000.0,16000.0,16000.0,18000.0
0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46000.0,38000.0,35000.0,32000.0,30000.0,27000.0,24000.0,24000.0,19000.0,21000.0,18000.0,19000.0,18000.0,17000.0,18000.0,20000.0,17000.0,19000.0,18000.0,16000.0,18000.0,17000.0,18000.0,18000.0,18000.0,18000.0,18000.0,19000.0,17000.0,17000.0
0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46000.0,41000.0,35000.0,35000.0,31000.0,25000.0,25000.0,25000.0,25000.0,22000.0,21000.0,19000.0,20000.0,18000.0,19000.0,23000.0,19000.0,19000.0,19000.0,19000.0,18000.0,18000.0,19000.0,19000.0,20000.0,18000.0,19000.0,18000.0,20000.0,18000.0
0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46000.0,43000.0,37000.0,33000.0,30000.0,30000.0,27000.0,23000.0,25000.0,21000.0,22000.0,22000.0,20000.0,20000.0,20000.0,19000.0,18000.0,19000.0,20000.0,19000.0,18000.0,18000.0,20000.0,18000.0,19000.0,19000.0,19000.0,17000.0,19000.0,19000.0
0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47000.0,41000.0,37000.0,37000.0,32000.0,32000.0,24000.0,26000.0,26000.0,23000.0,23000.0,21000.0,24000.0,22000.0,22000.0,20000.0,21000.0,19000.0,20000.0,19000.0,19000.0,21000.0,19000.0,20000.0,19000.0,20000.0,21000.0,17000.0,19000.0,20000.0
0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48000.0,44000.0,40000.0,34000.0,33000.0,32000.0,28000.0,26000.0,25000.0,23000.0,23000.0,23000.0,23000.0,21000.0,22000.0,23000.0,21000.0,22000.0,22000.0,20000.0,22000.0,21000.0,19000.0,21000.0,20000.0,20000.0,19000.0,21000.0,21000.0,20000.0
0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44000.0,38000.0,38000.0,33000.0,29000.0,30000.0,28000.0,25000.0,25000.0,23000.0,24000.0,25000.0,22000.0,22000.0,23000.0,22000.0,21000.0,23000.0,22000.0,22000.0,21000.0,20000.0,22000.0,23000.0,20000.0,20000.0,21000.0,21000.0,20000.0
